,city_name,latitude,longitude
0,BIECZ-GRUDNA,49.7380377,21.3081167
1,BIELICE,53.49269,19.39199
2,BIELINEK,52.9399076,14.1486064
3,BIELSK PODLASKI,52.7687555,23.1925618
4,BISKUPIEC,53.8688,20.95518
5,BLEDZEW,52.5175796,15.413957
6,BOBROWICE,51.9522474,15.0867621
7,BOBROWNIKI,51.548774,21.9333433
8,BOBRY,53.7389228,22.3525576
9,BOCHNIA,49.9693563,20.430541
10,BORNITY,54.1897498,20.055626
11,BOROWIEC,51.9800229,20.7277628
12,BORUCIN,52.5956248,18.7279717
13,BORYNIA,49.0714844,23.0022472
14,BRZEZIE,50.9359159,21.0533424
15,BRZEZINY,51.8004949,19.7517694
16,BRZOSTEK,49.8784697,21.411865
17,BRZOZIE,53.5724577,18.0988817
18,BRZUZE,53.0536334,19.2617851
19,BUCZYNA,51.5455019,15.9059572
20,BUCZYNIEC,50.6424092,17.0522767
21,BUCZYNIEC,50.6424092,17.0522767
22,BUDY TUSZOWSKIE,50.3875,21.6641667
23,BUKOWIEC,54.2883329,20.4007718
24,BUKOWINA,50.50239,23.59893
25,BURZYN,53.277754,22.45417
26,BYDGOSZCZ,53.1219648,18.0002529
27,BYDGOSZCZ,53.1219648,18.0002529
28,BYDGOSZCZ-SZWEDEROWO,53.1089529,18.000015409700183
29,BYDGOSZCZ-SZWEDEROWO,53.1089529,18.000015409700183
30,BYTOM,50.3657432,18.87153251609449
31,CEBER,50.6855744,21.2228354
32,CECENOWO,54.64046,17.54238
33,CHMIELNIK,50.6145952,20.7510406
34,CHOBIENIA,51.5438322,16.4486257
35,CHOCZ,51.97514,17.8707
36,CHODECZ,52.4051735,19.0272596
37,CHODEL,51.1121689,22.1350543
38,CHOJNA,52.9629793,14.4314113
39,CHOJNICE,53.6952912,17.5614973
40,CHORZELE,53.2610476,20.8978631
41,CHOSZCZNO,53.1704801,15.4167349
42,CHROBERZ,50.422448,20.5558784
43,CIECHANOWICE,50.86498,15.98039
44,CIECHANOWIEC,52.6787967,22.4991103
45,CIECHOCINEK,52.882552,18.7906883
46,CIECHOLEWY,53.8110799,17.4076442
47,CIEKLIN,49.6478192,21.3884224
48,CIEKSYN,52.5742863,20.6677635
49,CIEMNOSZYJE,53.5325622,22.5548819
50,CIEPLICE,50.6406644,13.8244461
51,CIESZYN,49.7488623,18.6334308
52,CIESZYN,49.7488623,18.6334308
53,CISNA,49.2131799,22.3283323
54,CISOWA,51.4423143,19.5654021
55,CYBINKA,52.1940293,14.7968841
56,CYKARZEW,50.95,19.1833333
57,CZAPLINEK,53.560673,16.2319428
58,CZARNA,53.6872555,25.5582556
59,CZARNA KOLONIA,51.4268685,21.4410821
60,CZARNA WODA,53.8441983,18.0984293
61,CZARNCA,50.8096094,19.9274164
62,CZARNE,53.68353,16.94221
63,CZARNOLAS,51.4293288,21.6979716
64,CZARNOWO,53.560111,22.2124176
65,CZARNY DUNAJEC,49.440493,19.8535612
66,CZARNY LAS,53.6653596,23.0667694
67,CZARNY SAD,51.7959911,17.4507248
68,CZARTORYJA,51.4957062,18.5000336
69,CZATKOWICE,51.5129265,17.3786433
70,CZEMIERNIKI,51.6743703,22.6380937
71,CZERNIEJEWO,52.4296119,17.489398
72,CZERNIEJEWO II,52.4296119,17.489398
73,CZERNIKOWO,52.94226,18.9373
74,CZERSK,53.796196,17.9756228
75,CZORSZTYN-NADZAMCZE,49.4375,20.3288889
76,DALESZYCE,50.801991,20.8066334
77,DOBCZYCE,49.8803432,20.0905415
78,DOBIEGNIEW,52.9667749,15.7548055
79,DOBRA,49.6738284,18.4139273
80,DOBRA,49.6738284,18.4139273
81,DOBRA,49.6738284,18.4139273
82,DOBRE,51.8970802,14.9020846
83,DOBROCIN,53.9088,19.8359501
84,DOBROGOSZCZ,53.78953,16.65939
85,DOBROMIERZ,50.9103288,16.236091
86,DOBRY,54.1193053,19.9400577
87,DOBRYLAS,53.282115,21.8635072
88,DOBRYLAS,53.282115,21.8635072
89,DOBRYSZYCE,51.1459513,19.408872
90,DOLECK,51.901571,20.3066346
91,DOLICE,53.19138,15.20096
92,DOLSK,51.9866,17.0653695
93,DOMANICE,53.936,16.94504
94,DOMARADY,54.3114166,20.9170901
95,DOROHUSK,51.160568,23.8032141
96,DOZINY,53.0146448,20.2487154
97,DRAHLE,53.3851402,23.5579668
98,DRAWNO,53.2189468,15.7580084
99,DRAWSKO POMORSKIE,53.5310786,15.8134179
100,DREZDENKO,52.8395392,15.8306701
101,DRONIOWICE,50.6941953,18.8112896
102,DRONIOWICE,50.6941953,18.8112896
103,DROZDY,51.9755127,20.8146917
104,DRZEWOCINY,51.55375,19.28857
105,DUBENINKI,54.2888629,22.5608125
106,DUBIENKA,51.0476985,23.8938053
107,DUBOWO,54.0631725,23.4622967
108,DUKLA,49.55636,21.6847523
109,DWERNIK,49.2069231,22.6375062
110,DWORKI,54.0778762,19.2633429
111,DYGOWO,54.131841,15.7207855
112,DZBENIN,53.0693557,21.7732044
113,DZIADKOWICE,51.6729595,19.0051054
114,DZIARNY,53.57294,19.62115
115,FASTY,53.1698176,23.0573544
116,FELIN,58.366048,25.587748
117,FRAMPOL,50.671832,22.6698666
118,FRANKNOWO,54.0319444,20.7491667
119,FROMBORK,54.3583633,19.6823701
120,FROMBORK,54.3583633,19.6823701
121,FRYSZTAK,49.8393809,21.6073264
122,FUTORY,49.6390868,25.1648965
123,GADKA,51.6910804,19.4406971
124,GALINY,51.8416479,20.59391
125,GARBATKA,52.0291008,20.8207593
126,GARDEJA,53.61101,18.94734
127,GAWORZYCE,51.6281886,15.8825348
128,GDYNIA,54.50383255,18.462806155884614
129,GDYNIA OKSYWIE,54.5458913,18.5362053
130,GIERCZYN,50.931206,15.4015186
131,GILOWICE,49.711931,19.3089524
132,GIRGAJNY,53.8579,19.6607601
133,GLINIK MARIAMPOLSKI,49.6838889,21.1680556
134,GLIWICE,50.30113145,18.662347227971978
135,GNIECHOWICE,50.987208,16.83423
136,GNIEW,53.8342221,18.8251596
137,GNIEZNO,52.5359736,17.595889
138,GNOJNIK,50.2689401,23.2514843
139,GOLCZOWICE,50.7782843,17.7353618
140,GOLCZOWICE OPOLSKIE,50.7782843,17.7353618
141,GORLICE,49.65829,21.1593832
142,GORZKOWICE,51.2151631,19.5959459
143,GOSTOMIA,53.1892394,16.4288686
144,GOSTYNIN,52.4287607,19.4612956
145,GOWOROWICE,50.5446073,17.1397871
146,GOZDOWICE,52.765851,14.3223027
147,GRABIK,45.5162445,18.4938579
148,GRABOWIEC,50.8217588,23.5494427
149,GRABOWIEC,50.8217588,23.5494427
150,GRABOWIEC,50.8217588,23.5494427
151,GRABOWNICA,51.5289376,17.3823625
152,GRABOWNICA,51.5289376,17.3823625
153,GRAJEWO,53.6469842,22.4548627
154,GRODKOWICE,49.9750472,20.2682594
155,GRODZIEC,49.8006421,18.8694816
156,GRODZIEC,49.8006421,18.8694816
157,HALA LIPOWSKA,49.529730900000004,19.22428197442529
158,HALA ORNAK,49.229292,19.8585111
159,HALEMBA,50.233833649999994,18.86458032095855
160,HARKABUZ,49.5442752,19.8278363
161,HEL,60.32135905,24.947206800038444
162,HERBY NOWE,50.7477778,18.855
163,HOPOWO,54.255421,18.2352915
164,HORYNIEC,50.22580385,23.374185288187906
165,HUCISKO JAWORNICKIE,49.8887312,22.3518357
166,IMBRAMOWICE,50.9681976,16.5701234
167,ISTEBNA,49.5742589,18.8936806
168,ISTEBNA-KUBALONKA,49.6033779,18.9013388
169,ISTEBNA-ZAOLZIE,49.5691353,18.9220906
170,IWANOWICE,51.6546044,18.3272055
171,IWANOWICE,51.6546044,18.3272055
172,IWINY,51.042315,17.0752148
173,IWKOWA,49.8171879,20.5900198
174,IZBICA,50.8853747,23.152348241165008
175,IZBICA KUJAWSKA,52.41925,18.76435
176,IZDEBKI,49.762555,22.0944209
177,JADOWNIKI MOKRE,50.165235,20.7287915
178,JAKSICE,50.3238575,20.0035681
179,JAKSICE II,50.31774540000001,20.00676192215067
180,JAKUBOWICE,50.8141849,21.6709492
181,JAKUBOWICE,50.8141849,21.6709492
182,JAKUSZYCE,50.8167225,15.4315555
183,JAKUSZYCE,50.8167225,15.4315555
184,JANICE,48.26869395,20.215767428545774
185,JANISZEWO,53.8772222,21.1061111
186,JANKOWICE,52.4394203,16.6202896
187,JANOWIEC WIELKOPOLSKI,52.7567264,17.4887698
188,JANUSZEWICE,51.3834313,20.2177599
189,JARCZEW,51.8144132,21.9569274
190,JARKOWICE,50.7200681,15.9002101
191,JARNICE,52.3585868,21.9865757
192,JARNUTY,53.15699,22.00287
193,JAROCIN,51.9738992,17.5011225
194,JAROSTY,51.4617352,19.6822993
195,JASIENNA,50.8913376,17.9829171
196,JASTARNIA,54.702764,18.6712892
197,JASTROWIE,53.4205494,16.8150156
198,JASTRZYGOWICE,51.0001186,18.4558639
199,JAWISZOWICE,49.96214,19.1394723
200,JAWOR,51.0504653,16.1932008
201,JAWORZYNA KRYNICKA,49.4180461,20.8955129
202,JAZOWSKO,49.529779,20.5171302
203,JEDLANKA,51.384173,21.567974
204,JEDLICZE,49.714148,21.6421513
205,JELCZ-LASKOWICE,51.0398306,17.3499638
206,JUCHNOWIEC DOLNY,53.0094173,23.1314993
207,JUCHOWO,53.67675,16.49177
208,JUDYTY,54.3219444,20.8922222
209,KACZYCE,51.62653365,16.29900059487936
210,KALISKA,53.75108,17.80377
211,KALISZ,51.7624752,18.0895358
212,KALNICA,48.7635953,17.9211908
213,KALWARIA ZEBRZYDOWSKA,49.8669482,19.6763089
214,KALWARIA ZEBRZYDOWSKA,49.8669482,19.6763089
215,KAMESZNICA,49.571292,19.0478818
216,KAMIENICA,50.4215504,17.3706083
217,KAMIENICA,50.4215504,17.3706083
218,KAMIENICA,50.4215504,17.3706083
219,KAMIENNA,51.0091183,21.2376534
220,KAMIONKA,48.0321816,28.7042359
221,KANIE,49.1465743,-0.254525
222,KARGOWA,52.0719225,15.8648044
223,KARMONKI NOWE,50.9079147,18.56456818687564
224,KARPACZ,50.7747485,15.7542035
225,KARPNO,53.94888,17.42213
226,KARTLEWO,53.82833,15.64178
227,KARTUZY,54.3342281,18.1973639
228,KASPARUS,53.7414565,18.3609805
229,KASPROWY WIERCH,49.2318014,19.9815609
230,KASZUNY,54.1456,20.33282
231,KATOWICE PYRZOWICE,50.4610074,19.0716795
232,KATOWICE-MUCHOWIEC,50.2325,19.0266667
233,KAZIMIERZ DOLNY,51.3220058,21.947372
234,KLIKUSZOWA,49.518927,19.9855146
235,KLONOWO,53.5188113,19.9535312
236,KLUCZEWO,52.03681,16.37122
237,KLUKI,52.1375592,21.5333579
238,KLUKOWA HUTA,54.2410478,17.8977669
239,KMIECIN,54.1891651,19.1497002
240,KOBYLNO,50.7958287,18.1044657
241,KOCHCICE,50.70817,18.68931
242,KOCIERZ MOSZCZANICKI,49.7428648,19.2578377
243,KOCK,51.6397883,22.4443814
244,KOLBUSZOWA,50.2433277,21.7754563
245,KOLBUSZOWA,50.2433277,21.7754563
246,KOLNO,53.4109383,21.9312439
247,KOSTRZYN,51.5748717,20.7309873
248,KOSZALIN,54.20727105,16.217530768271565
249,KOSZALIN-ZEGRZE,54.0436933,16.26675851443946
250,KOSZARAWA,49.6442617,19.4002432
251,KOTUSZ,51.765293,24.8004
252,KOWALE OLECKIE,54.1628369,22.4169549
253,KOWALEWO,52.7419391,19.8874296
254,KOWANIEC,49.4986819,20.042331
255,KOWARY,50.7937534,15.8338236
256,KOZIENICE,51.5849678,21.549883
257,KRAJENKA,53.2970851,16.9909514
258,KRAMSK,52.2666155,18.4259533
259,KRAPKOWICE,50.4747413,17.9675262
260,KRASICZYN,49.7762257,22.6521706
261,KROSNO,49.68875655,21.753404714509344
262,KROSNO,49.68875655,21.753404714509344
263,KROTOSZYN,51.695926,17.4374158
264,KRUSZYNA,51.5793125,21.1737992
265,KRYNICA,53.0336093,23.5880673
266,KRYNICA,53.0336093,23.5880673
267,KRYNICA MORSKA,54.3800071,19.4433631
268,KRYNICE,53.2252804,23.0317413
269,KRZEMIENIEWO,51.8582756,16.8338586
270,KULIGI,53.3103115,19.518794376826364
271,KUP,47.2480471,17.4656786
272,KUROWO BRANIEWSKIE,54.227797,19.7482617
273,KURPIE,53.1759078,22.1711993
274,KURZACZE,51.0116511,21.3732347
275,LEGIONOWO,52.3952285,20.9308309
276,LEGNICA,51.2081617,16.1603187
277,LELKOWO,54.3240167,20.2241793
278,LESINY WIELKIE,53.3838074,21.129701
279,LESKO,49.4689014,22.3303816
280,LESKOWIEC,49.7887467,19.4431583
281,LESZCZOWATE,49.5085765,22.5432995
282,LESZNO,51.8436068,16.58042182076424
283,LESZNO,51.8436068,16.58042182076424
284,LIDZBARK,53.2628043,19.8231836
285,LIPINY,54.2161111,20.7577778
286,LIPNICA DOLNA,49.6959113,20.8736414
287,LIPNICA WIELKA,49.4849727,19.6292186
288,LIPOWA,49.942477,20.0600359
289,LIPOWINA,54.3475608,19.9817385
290,LISEWO,53.7644904,22.6803889
291,LISEWO,53.7644904,22.6803889
292,LISIEC,50.9419444,16.3530556
293,LISOWO,52.4635982,22.6259869
294,LUBANIE,52.743229,18.9192492
295,MACZKI,50.2608057,19.2676237
296,MAGURKA,49.4806485,18.317134
297,MAJDAN WIELKI,50.8402012,23.6606839
298,MAKOSZOWY,50.2666189,18.7679258
299,MALBORK,54.0359361,19.0348817
300,MALCZKOWO,54.4216629,17.3794312
301,MALCZYCE,51.2203518,16.493719
302,MARADKI,53.8120173,21.1383542
303,MARIANOWO,52.4258333,18.2669444
304,MARIANOWO II,52.324359599999994,18.456176675418916
305,MASZEWO,53.496222,15.0613549
306,MASZEWO,53.496222,15.0613549
307,MATCZE,50.9469241,23.9694052
308,MIASTKO,54.0001478,16.9774717
309,MIELNO,54.2590065,16.0539997
310,MIELNO,54.2590065,16.0539997
311,MIESZKOWICE,52.785412,14.4954296
312,MIKOROWO,54.41635,17.58061
313,MIKOSZE,53.8081283,21.920958
314,MIKULIN,50.675121,26.525459
315,MILACHOWO,53.5430556,17.2058333
316,MILICZ,51.5319957,17.2752485
317,MNISZEK,51.3665756,20.8686574
318,MOCHOWO,52.7662538,19.5540153
319,MODLIN,52.6010415,17.6096142
320,MODZEROWO,52.6454685,19.1840411
321,MOGILNO,52.657341,17.9500677
322,MOKRY LAS,51.6242409,21.058787
323,MORAWICA,50.0764277,19.7500156
324,MORDY,52.2106634,22.5154232
325,MORSKIE OKO,49.197377149999994,20.070716564309393
326,MORSKIE OKO,49.197377149999994,20.070716564309393
327,MOSINA,52.2455834,16.8472591
328,MOSTY,53.4134113,24.5428406
329,MOSZCZENICA,51.50468995,19.67660746199884
330,MOTYL,54.9353805,20.2488407
331,MSZANA,51.0044444,17.6875
332,MSZANA DOLNA,49.6779756,20.0820073
333,MSZANA DOLNA,49.6779756,20.0820073
334,MURCKI,50.2003427,19.0417538
335,MUSZYNA,49.3561684,20.8967477
336,MYCZKOWCE,49.4343321,22.4105831
337,MYSZYNIEC,53.3831962,21.3420723
338,NAGRADOWICE,52.3208224,17.1480783
339,NAREW,53.1249097,22.812367
340,NAREWKA,52.8359438,23.757029
341,NAREWKA,52.8359438,23.757029
342,NAROL,50.3488112,23.3274426
343,NIEDZICA,49.4075175,20.2998447
344,NIELISZ,50.7982909,23.046839
345,NIEMCZA,50.7163426,16.8350398
346,NIEMODLIN,50.6415925,17.6211388
347,NIEMOJKI,52.2658975,22.6974096
348,NIEZABYSZEWO,54.1360576,17.4241697
349,NIEZNANICE,50.9206148,19.3075487
350,NIKUTOWO,53.8411756,21.3017013
351,NIWKA,50.4582575,20.7321497
352,NIWKI,50.4985824,18.1574846
353,NOJEWO,52.5987742,16.3129794
354,NOWA MORAWA,50.2414847,16.9038026
355,NOWA RUDA,50.5791982,16.5014757
356,NOWA SUCHA,52.1543032,20.1786648
357,NOWA WOLA,53.0013921,23.6266668
358,NOWE BYSTRE,49.3421121,19.9209554
359,NOWE MASIEWO,52.8344621,23.8972835
360,NOWE MIASTO,34.5708167,-105.993007
361,NOWE MIASTO,34.5708167,-105.993007
362,NOWOGARD,53.6687698,15.1225889
363,NOWOGRODZIEC,51.198575,15.3987475
364,NOWOSADY,54.09852,20.55413
365,NOWOSADY,54.09852,20.55413
366,NOWOSIELCE,50.0585746,22.4024477
367,NOWOTANIEC,49.5088885,22.0301733
368,NOWOWOLA,53.4769443,23.3983394
369,NOWY CYDZYN,53.2404264,22.1506201
370,NOWY FOLWARK,50.4989613,20.6804439
371,NOWY JASINIEC,53.3488601,18.0320727
372,NOWY LUBLINIEC,50.2943542,23.0948655
373,NOWY RAMUK,53.6510726,20.5783399
374,NOWY STAW,54.1342754,19.0086861
375,NOWY TARG-KOWANIEC,49.4986819,20.042331
376,NOWY WIEC,54.12599,18.34919
377,NURZEC,52.6234014,23.1273498
378,NYSA,50.4738029,17.3324733
379,OBIDOWA,50.9169783,16.5470339
380,OBJAZDA,51.11557,17.74159
381,OBORNIKI WIELKOPOLSKIE,52.6456727,16.8097892
382,OBORNIKI WIELKOPOLSKIE II,52.6456727,16.8097892
383,OBSZA,55.8919253,33.2088559
384,OCHABY,49.8419444,18.7508333
385,OCHOTNICA DOLNA,49.5255655,20.3202148
386,OCYPEL,53.8096207,18.314109
387,OKMIANY,56.2460515,22.7545972
388,OKONEK,53.5347646,16.8516192
389,OKSA,62.5184091,36.2458814
390,OKUNINO,54.06634,16.95083
391,OLECKO,54.0398024,22.4934246
392,OLESNO,50.8766575,18.4219452
393,OLESNO,50.8766575,18.4219452
394,OLEWIN,51.2275507,18.6381069
395,OLGANOWO,52.5191874,18.9810958
396,OLKUSZ,50.2788158,19.5596307
397,OLSZANKA,48.235415,30.8745445
398,OLSZEWKI,53.6724975,20.9970442
399,OLSZTYN,53.7767239,20.477781292210345
400,OLSZYN,52.1243375,23.3787365
401,OPALENICA,52.3088119,16.4124256
402,OPATOWIEC,50.2425871,20.7237798
403,OPAWA,49.9389004,17.9024174
404,OPIESIN,52.1780556,19.0736111
405,OPOCZNO,51.3782439,20.2931754
406,OPOCZNO,51.3782439,20.2931754
407,OPOLE,50.678792900000005,17.929884436033525
408,OPOLE LUBELSKIE,51.1475365,21.9664152
409,OPOLE LUBELSKIE,51.1475365,21.9664152
410,ORNETA,54.1155533,20.1303378
411,ORZECH,50.5665237,16.6212023
412,ORZESZE,50.1439,18.77462
413,ORZESZKOWO,52.683168,23.5400382
414,ORZESZYN,52.025053,21.0906668
415,ORZYSZ,53.809833,21.9473601
416,OSETNO,53.1649566,21.7308329
417,OSIE,40.1537925,73.35273504013051
418,OSIEK,50.5194515,21.4425619
419,OSIELEC,49.6716358,19.7668341
420,OSIELSKO,53.1862966,18.0769779
421,OSOWIEC,52.9271718,22.2601325
422,OSTROSZOWICE,50.6437693,16.6389431
423,OSTROSZOWICE,50.6437693,16.6389431
424,OSTROWICE,53.6377145,15.9734613
425,OSTROWITE,53.444749,20.0965894
426,OSTROWITE,53.444749,20.0965894
427,OSTROWITE,53.444749,20.0965894
428,OSTROWY,51.3555849,21.5367761
429,OSTROWY TUSZOWSKIE,50.3187297,21.655632
430,PACZYN,50.7385223,15.9177719
431,PAJTUNY,54.2636826,20.1670218
432,PAPROTKI,53.9330143,21.8010319
433,PASTERKA,50.494834,16.3254863
434,PASTERZOWICE,51.5975,15.56445
435,PETRYKOZY,52.7722634,19.8747751
436,PEWEL WIELKA,49.6606383,19.3500801
437,PIASKI,51.1377691,22.8476995
438,PIASZCZYNA,54.0222608,17.1707782
439,PIENIÊ¯NO,44.5683772,0.2860363
440,PIERSNA,51.62802,16.27556
441,PIESZOWOLA,51.4978787,23.1628521
442,PILASZKOWICE,50.9990573,22.8297421
443,PILAWA,54.6437214,19.8941584
444,PILCHOWICE,50.216057,18.5636891
445,PILCZYCA,50.9417304,19.9042748
446,PILICA,50.4681134,19.6573591
447,PILICH,45.2475645,26.4695756
448,PILZNO,49.7477415,13.3775249
449,PIONKI,51.4730031,21.4438404
450,PIOTROWO,52.9750012,21.9289007
451,PISANICA,53.8602084,22.4134527
452,PISZ,53.6294943,21.8098191
453,PIWNICZNA,49.4406366,20.7142313
454,PIWNICZNA,49.4406366,20.7142313
455,PLESZEW,51.8960985,17.7865673
456,PLUCICE,51.2005171,19.6024089
457,PNIEWO,52.5897547,20.8381958
458,PNIEWY,52.5089624,16.2566411
459,POBIEDNA,50.938891,15.2969477
460,POBIEDZISKA,52.4773387,17.2870352
461,PODANIN,52.9532366,16.9417958
462,PODGRODZIE,49.086231,24.688
463,PODHAJCE,50.801411,24.473698
464,PODZAMEK,50.43197,16.73887
465,POLANA,48.6600124,19.44011517611183
466,POLANKI,53.3417016,23.3370766
467,POLANOWICE,51.8887177,14.686009
468,PRUSIM,53.77507,15.42992
469,PRUSY,47.97085,4.042429
470,PRZASNYSZ,53.0190219,20.8804028
471,PRZECHLEWO,53.7995842,17.2550402
472,PRZECHODY,53.1369396,23.4612355
473,PRZEDWOJEWO,52.9213998,20.6566185
474,PRZEDWOJEWO,52.9213998,20.6566185
475,PRZEGINIA,49.82587,20.33348
476,PRZELEWICE,53.030728,16.1088995
477,PRZERWANKI,54.1307574,21.9227746
478,PRZESIECZANY,51.2068471,15.1469084
479,PRZESIEKA,52.4922874,22.5816021
480,PRZEWALE,50.616821,23.6216825
481,PRZEWORNO,50.6863108,17.1658038
482,PRZEWORSK,50.0601735,22.4923769
483,PRZYSUCHA,51.3585043,20.6285468
484,PSZCZELA WOLA,51.1112312,22.49946806943497
485,PSZCZYNA,49.9778328,18.9425124
486,RABE,49.3652019,22.6600377
487,RABKA,54.7540423,17.5164602
488,RACZKI,53.9889338,22.7826183
489,RADAWA,50.13226,22.76568
490,RADOM,51.417157599999996,21.160945939663797
491,RADOM,51.417157599999996,21.160945939663797
492,RADOMICKO,51.9545412,16.5439295
493,RADOMSKO,51.0674769,19.4446109
494,RADOSTOWO,53.4528174,21.2144583
495,RADOSZEWICE,52.3697037,18.7170997
496,RADOSZYCE,51.0736699,20.2597677
497,RADZIECHOWY,49.64735,19.14604
498,RADZIEMICE,50.2541273,20.2348635
499,RAJCZA,49.503221,19.1013077
500,ROMANY-SEBORY,53.1071534,20.8603865
501,ROPCZYCE,50.0528608,21.6116324
502,ROSZKOWICE,51.1121153,18.2648568
503,ROZAJNY,53.65967,19.03502
504,ROZDZIELE,49.4630294,20.9816153
505,ROZEWIE,54.8291852,18.3352883
506,ROZOGI,53.7918383,21.1286863
507,ROZTOKI,49.6489304,19.6573032
508,ROZWORY,53.0938103,21.7392383
509,RYBNIK,50.1105691,18.553187366087336
510,RYBOTYCZE,49.6556185,22.6448956
511,RYCHLIKI,53.9859225,19.5267889
512,RYCHTAL,51.1452059,17.8487726
513,RYKOSZYN,50.8603914,20.4075141
514,RYN,48.1113387,-1.6800198
515,RZEJOWICE,51.0933766,19.6964123
516,RZESZYN,52.54857,18.31558
517,RZEWNIE,52.8351768,21.3393107
518,SADKOWICE,51.723841,20.5137702
519,SIDORY,54.02806,22.7527641
520,SIDZINA,49.5899133,19.6765443
521,SIEDLCE,52.161593800000006,22.281253302988254
522,SIEDLEC,50.1441722,19.6785093
523,SIEDLISKA,53.8389564,22.3186925
524,SIEKIERCZYN,51.1211875,15.1937965
525,SIEKIERNO,50.9835747,20.9497769
526,SIELEC,50.530964,20.1336642
527,SKWIERZYNA,52.5967483,15.5010958
528,SOCHACZEW,52.2269697,20.2422249
529,SOCHONIE,53.2069218,23.170605
530,SOKOLE,53.0831738,23.514845
531,SOLINA-JAWOR,49.3988371,22.4677504
532,SOMINY,54.03561,17.64074
533,SOMPOLNO,52.3884355,18.5030075
534,SOPOTNIA WIELKA,49.5927368,19.2956813
535,SOSNOWIEC,50.2780834,19.1342944
536,SOSNOWIEC-JULIUSZ,50.2698928,19.228543
537,SOSNOWO,53.7223,22.98478
538,STANKOWICE,51.0229797,15.3166828
539,STANOWICE,50.9654384,17.2610623
540,STANOWISKA,50.9765333,19.9207331
541,STANY,51.8463431,15.7823589
542,STARA KAMIENICA,50.9168596,15.5721391
543,STARACHOWICE,51.0518865,21.0761377
544,STARE DRZEWCE,51.77082,16.215
545,STARE GUTY,53.6117827,21.9191397
546,STARE MIASTO,31.7782872,35.2319526
547,STARE OLESNO,50.91162,18.35161
548,STARNIN,53.9682917,15.4578982
549,STARY FOLWARK,54.0788702,23.0761586
550,STAWIGUDA,53.6584991,20.4011694
551,STAWISKI,53.3798382,22.1548937
552,STEGNA,54.3286519,19.1130637
553,STEPNICA,53.651453,14.6299527
554,STOPNICA,50.4382587,20.9385676
555,STRABLA,52.9036671,23.0944284
556,STRACONKA,50.8385877,16.3187637
557,STRASZEWO,53.0862154,23.7316378
558,STRÓ¯A,52.19230195,5.7019000236435335
559,STRUPINA,51.389661,16.811129
560,STRUSZEWO,54.17972,17.36231
561,STRZEGOM,50.9601066,16.3462134
562,STUPOSIANY,49.1890613,22.6826485
563,SUCHA BESKIDZKA,49.73231525,19.58229896036321
564,SUCHA RZECZKA,50.4498629,17.2180537
565,SUCHOWOLA,53.578557,23.1058224
566,SUCHOWOLA,53.578557,23.1058224
567,SUKOWICE,50.2641667,18.1696326
568,SULIBOREK,53.2942372,15.5531484
569,SULMIERZYCE,51.6064157,17.5278074
570,SYPNIEWO,53.0052471,21.3064497
571,SYPNIEWO,53.0052471,21.3064497
